Unique_ID,MORTGAGE NUMBER,PROPERTY VALUE,MORTGAGE PAYMENT,GDS,LTV,TDS,AMORTIZATION,MORTGAGE AMOUNT,RATE,TERM,FSA,INCOME,CREDIT SCORE,RESULT,MORTGAGE PURPOSE_Purchase,MORTGAGE PURPOSE_Refinance,PAYMENT FREQUENCY_Bi-Weekly,PAYMENT FREQUENCY_Bi-Weekly Accelerated,PAYMENT FREQUENCY_Monthly,PAYMENT FREQUENCY_Semi-Monthly,PAYMENT FREQUENCY_Weekly,PAYMENT FREQUENCY_Weekly Accelerated,PROPERTY TYPE_Duplex,PROPERTY TYPE_Fourplex,PROPERTY TYPE_High Rise,PROPERTY TYPE_Semi-Detached,PROPERTY TYPE_Single Detached,PROPERTY TYPE_Townhouse Condominium,PROPERTY TYPE_Townhouse Freehold,PROPERTY TYPE_Triplex,AGE RANGE_25-29,AGE RANGE_30-34,AGE RANGE_35-39,AGE RANGE_40-44,AGE RANGE_45-49,AGE RANGE_50-54,AGE RANGE_55-59,AGE RANGE_60-64,AGE RANGE_65-69,AGE RANGE_70 and over,AGE RANGE_Under 25,GENDER_Female,GENDER_Male,GENDER_Unknown,INCOME TYPE_-1,INCOME TYPE_1,INCOME TYPE_2,INCOME TYPE_3,INCOME TYPE_4,INCOME TYPE_5,INCOME TYPE_6,INCOME TYPE_7,INCOME TYPE_8,INCOME TYPE_9,INCOME TYPE_10,INCOME TYPE_11,INCOME TYPE_12,INCOME TYPE_13,INCOME TYPE_14,INCOME TYPE_15,INCOME TYPE_16,INCOME TYPE_17,INCOME TYPE_18,INCOME TYPE_19,INCOME TYPE_20,NAICS CODE_11,NAICS CODE_22,NAICS CODE_23,NAICS CODE_31-33,NAICS CODE_42,NAICS CODE_44-45,NAICS CODE_48-49,NAICS CODE_51,NAICS CODE_52,NAICS CODE_53,NAICS CODE_54,NAICS CODE_55,NAICS CODE_56,NAICS CODE_61,NAICS CODE_62,NAICS CODE_71,NAICS CODE_72,NAICS CODE_81,NAICS CODE_92,FSA_nums,FSA_PROPERTY VALUE_min,FSA_PROPERTY VALUE_max,FSA_PROPERTY VALUE_mean,FSA_PROPERTY VALUE_sum,FSA_PROPERTY VALUE_median,FSA_MORTGAGE PAYMENT_min,FSA_MORTGAGE PAYMENT_max,FSA_MORTGAGE PAYMENT_mean,FSA_MORTGAGE PAYMENT_sum,FSA_MORTGAGE PAYMENT_median,FSA_GDS_min,FSA_GDS_max,FSA_GDS_mean,FSA_GDS_sum,FSA_GDS_median,FSA_LTV_min,FSA_LTV_max,FSA_LTV_mean,FSA_LTV_sum,FSA_LTV_median,FSA_TDS_min,FSA_TDS_max,FSA_TDS_mean,FSA_TDS_sum,FSA_TDS_median,FSA_AMORTIZATION_min,FSA_AMORTIZATION_max,FSA_AMORTIZATION_mean,FSA_AMORTIZATION_sum,FSA_AMORTIZATION_median,FSA_MORTGAGE AMOUNT_min,FSA_MORTGAGE AMOUNT_max,FSA_MORTGAGE AMOUNT_mean,FSA_MORTGAGE AMOUNT_sum,FSA_MORTGAGE AMOUNT_median,FSA_RATE_min,FSA_RATE_max,FSA_RATE_mean,FSA_RATE_sum,FSA_RATE_median,FSA_TERM_min,FSA_TERM_max,FSA_TERM_mean,FSA_TERM_sum,FSA_TERM_median,FSA_INCOME_min,FSA_INCOME_max,FSA_INCOME_mean,FSA_INCOME_sum,FSA_INCOME_median,FSA_CREDIT SCORE_min,FSA_CREDIT SCORE_max,FSA_CREDIT SCORE_mean,FSA_CREDIT SCORE_sum,FSA_CREDIT SCORE_median
CAX_Train_1,1,900000,5429,61.98,65.0,71.63,360,1040000.0,4.0,12,L4C,108000,681,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695,211000,7500000,925004.3165467626,642878000,723000,305,25032,3766.061870503597,2617413,3126.0,-0.23,278.71,28.305712230215864,19672.470000000027,30.0,8.08,85.581,71.90607625899278,49974.72299999998,75.0,6.21,1180.83,39.92976978417266,27751.190000000002,38.7,300,360,358.705035971223,249300,360,40000.0,4000000.0,682260.2125755395,474170847.73999995,574400.0,2.75,10.0,4.487050359712231,3118.5,4.25,6,60,14.071942446043165,9780,12,14000,1875000,193234.53237410073,134298000,145000,0,883,695.4446043165468,483334,704.0
CAX_Train_2,2,386000,2179,35.22,74.29,40.65,360,390000.0,4.5,12,L9T,78000,710,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,647,225000,1230000,536870.1700154559,347355000,510000,570,5925,2271.9459041731066,1469949,2203.0,-1.06,156.42,29.26792890262752,18936.350000000006,30.28,24.39,80.0,74.6688964451314,48310.77600000001,80.0,0.0,157.11,37.6279907264297,24345.310000000016,37.89,240,360,358.42349304482224,231900,360,100000.0,973809.0,418055.9373106645,270482191.43999994,400000.0,3.5,8.0,4.474884080370943,2895.25,4.5,6,60,15.013910355486862,9714,12,16000,980000,111571.87017001545,72187000,98000,0,874,670.160741885626,433594,689.0
CAX_Train_3,3,531000,2152,30.97,80.0,35.41,360,424800.0,3.5,6,M1N,87000,709,1.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,135,233000,2500000,682162.9629629629,92092000,606000,895,11827,2789.703703703704,376610,2431.0,-0.97,217.03,29.46251851851851,3977.439999999999,29.27,33.65,80.0,72.31259259259262,9762.200000000004,75.0,7.95,217.03,39.58362962962963,5343.79,37.5,300,360,359.1111111111111,48480,360,170000.0,2000000.0,506340.443925926,68355959.93,450000.0,3.5,6.0,4.590740740740741,619.75,4.5,6,36,14.933333333333334,2016,12,13000,950000,148081.4814814815,19991000,105000,0,883,677.3407407407408,91441,689.0
CAX_Train_4,4,1200000,5410,19.04,75.0,34.14,360,960000.0,5.5,12,M2M,300000,761,1.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,211,207000,4000000,1043213.2701421801,220118000,902000,563,13744,4206.777251184834,887630,3812.0,0.0,55.64,28.50952606635073,6015.510000000004,31.2,16.88,80.0,72.15025592417065,15223.704000000007,75.0,0.0,67.2,37.69241706161135,7953.099999999995,38.35,300,360,358.86255924170615,75720,360,90000.0,3000000.0,776330.5369668247,163805743.3,720000.0,3.25,8.0,4.501184834123222,949.75,4.5,6,60,14.274881516587678,3012,12,11000,850000,199331.75355450236,42059000,180000,0,861,695.7014218009479,146793,712.0
CAX_Train_5,5,350000,3342,29.59,80.0,34.85,360,592000.0,5.0,12,L7G,147000,762,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,184,235000,2500000,629157.6086956522,115765000,535000,536,7090,2514.608695652174,462688,2222.0,-2.93,87.31,29.82206521739131,5487.260000000001,30.175,27.78,80.76899999999999,71.92878260869566,13234.896,75.0,7.3,95.78,37.74717391304347,6945.479999999999,37.995,300,360,356.0869565217391,65520,360,62200.0,1335000.0,461779.56630434777,84967440.19999999,418000.0,3.5,10.0,4.627717391304348,851.5,4.5,12,60,17.282608695652176,3180,12,7000,1413000,128380.43478260869,23622000,103000,0,856,670.1413043478261,123306,675.0
CAX_Train_6,6,420000,2179,26.16,69.05,26.16,240,290000.0,5.5,24,M1M,106000,570,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,166,100000,2800000,710566.265060241,117954000,629500,439,11839,2968.397590361446,492754,2479.5,0.0,67.75,28.384578313253012,4711.84,28.82,13.33,80.0,72.99010843373493,12116.357999999998,75.0,0.0,112.98,39.34427710843372,6531.149999999998,38.370000000000005,240,360,357.4698795180723,59340,360,100000.0,2100000.0,543143.8072891567,90161872.01,454400.0,3.5,6.0,4.533132530120482,752.5,4.5,6,60,14.096385542168674,2340,12,26000,528000,146987.9518072289,24400000,125000,0,859,681.210843373494,113081,690.0
CAX_Train_7,7,1600000,5275,32.12,69.23,33.9,360,900000.0,4.0,12,L7B,185000,812,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,191,355000,5000000,1293602.0942408377,247078000,1120000,1023,20946,5170.141361256545,987497,4639.0,-0.74,311.68,32.16994764397907,6144.460000000003,30.36,11.25,80.0,69.30443979057593,13237.148000000003,75.0,19.3,311.68,42.15769633507853,8052.12,40.66,300,360,359.3717277486911,68640,360,120000.0,3400000.0,929027.9912565444,177444346.32999998,860000.0,3.5,7.0,4.582460732984293,875.25,4.5,6,60,13.916230366492147,2658,12,5000,1440000,261251.30890052355,49899000,217000,539,860,680.5863874345549,129992,678.0
CAX_Train_8,8,1500000,4383,35.68,55.17,37.81,360,644000.0,4.0,12,L3P,160000,683,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,198,236000,3250000,863500.0,170973000,735000,705,11494,3442.0454545454545,681525,3068.0,0.0,89.12,30.183131313131316,5976.26,30.735,16.56,80.0,70.89796969696968,14037.797999999997,75.0,9.79,96.24,38.71338383838385,7665.250000000002,38.705,300,360,359.3939393939394,71160,360,100000.0,2250000.0,650019.45510101,128703852.11,580000.0,3.5,9.0,4.458333333333333,882.75,4.25,6,36,15.333333333333334,3036,12,12000,2400000,169888.88888888888,33638000,140000,0,867,680.7272727272727,134784,700.0
CAX_Train_9,9,790000,3092,35.29,78.48100000000001,35.4,360,620000.0,3.5,60,M4C,89000,684,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,162,130000,1800000,619469.1358024691,100354000,567500,558,6789,2562.3518518518517,415101,2388.0,-0.8,82.77,26.75549382716049,4334.389999999999,27.995,17.39,80.0,70.23962345679013,11378.819000000001,75.0,0.0,82.77,36.20839506172839,5865.759999999999,37.394999999999996,180,360,355.9259259259259,57660,360,97500.0,1200000.0,458722.55895061727,74313054.55,423750.0,3.5,6.0,4.672839506172839,757.0,4.5,6,60,15.74074074074074,2550,12,24000,800000,139092.59259259258,22533000,99000,0,852,679.5061728395061,110080,691.5
CAX_Train_10,10,650000,1839,38.78,41.85,38.98,360,272000.0,5.5,12,L4W,60000,716,1.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,49,245000,1300000,652326.5306122449,31964000,600000,1188,5314,2793.4489795918366,136879,2622.0,0.0,154.85,29.659387755102035,1453.3099999999997,29.07,37.308,80.0,72.5024693877551,3552.6209999999996,76.42,13.91,156.17,39.6530612244898,1943.0,38.13,360,360,360.0,17640,360,196000.0,1000000.0,493077.2448979592,24160785.0,450000.0,3.5,6.0,4.464285714285714,218.75,4.5,12,36,17.387755102040817,852,12,32000,670000,148346.9387755102,7269000,116000,0,851,667.204081632653,32693,682.0
